Run_ID,Block,Replica,Model,Quant,Conc,Context,Hardware,p95_ms,Throughput,ROUGE_L,F1_Extracao,Wh_100_prompts
1,B1,1,Llama-3.2-3B,int4,1,4k,N/A,106.48357076505616,72.08357076505615,0.5521211214797689,0.766586555987919,33.483570765056164
2,B1,1,Phi-3-mini,int4,1,4k,N/A,103.30867849414408,68.90867849414407,0.6623782158161189,0.520902685723999,30.308678494144075
3,B1,1,Llama-3.2-1B,int4,1,4k,N/A,107.23844269050346,72.83844269050346,0.615972509321058,0.7733951833556472,34.23844269050346
4,B1,1,Phi-3-mini,int4,10,4k,N/A,129.61514928204014,73.61514928204012,0.5456145700990209,0.5767358556592812,47.61514928204013
5,B1,1,Llama-3.2-3B,int4,10,8k,N/A,120.82923312638331,64.82923312638331,0.7059264473611897,0.5292732168433758,38.82923312638332
6,B1,1,Llama-3.2-3B,int4,1,8k,N/A,102.8293152152541,68.42931521525409,0.46974693032602094,0.926998491764,29.8293152152541
7,B1,1,Llama-3.2-3B,int8,1,8k,N/A,111.89606407753696,57.49606407753696,0.5460723242676091,0.9345344148835517,38.896064077536955
8,B1,1,Llama-3.2-1B,int4,1,8k,N/A,107.83717364576455,73.43717364576455,0.5831809216468459,0.8637788066524075,34.837173645764544
9,B1,1,Phi-3-mini,int8,1,8k,N/A,101.65262807032524,47.252628070325244,0.628034992108518,0.6370761961280168,28.65262807032524
10,B1,1,Llama-3.2-1B,int8,1,8k,N/A,106.71280021792982,52.312800217929826,0.7925879806965068,0.5439524513028727,33.712800217929825
11,B1,1,Llama-3.2-1B,int4,10,4k,N/A,119.68291153593769,63.68291153593769,0.4998368910791799,0.8079048619304705,37.68291153593769
12,B1,1,Llama-3.2-3B,int8,1,4k,N/A,101.67135123214871,47.27135123214872,0.6571172192068058,0.6980686221828205,28.671351232148716
13,B1,2,Llama-3.2-3B,int4,1,4k,N/A,105.93251387631032,69.53251387631032,0.594338644844741,0.5024849527056211,30.93251387631033
14,B1,2,Phi-3-mini,int4,1,4k,N/A,100.71144535522049,64.31144535522048,0.535674515886948,0.8669576428046754,25.711445355220498
15,B1,2,Llama-3.2-1B,int4,1,4k,N/A,110.11272456051594,73.71272456051594,0.8143687545759647,0.8180858047314277,35.11272456051594
16,B1,2,Phi-3-mini,int4,10,4k,N/A,117.89578175014489,59.89578175014489,0.5783766633467946,0.8280532256184443,33.89578175014489
17,B1,2,Llama-3.2-3B,int4,10,8k,N/A,125.04431797502377,67.04431797502377,0.5404672548436904,0.8470716560086755,41.04431797502378
18,B1,2,Llama-3.2-3B,int4,1,8k,N/A,96.20164938060113,59.80164938060112,0.6713480415791242,0.5333200932803407,21.201649380601122
19,B1,2,Llama-3.2-3B,int8,1,8k,N/A,99.35906975550785,42.95906975550785,0.47046211248738135,0.6613095778449227,24.359069755507846
